target_calls	axis	cutoff	calls	precision
4000	Mash sobre DNA	0.0500	3893	94.8883
4000	Mash sobre proteomas	0.0500	3618	94.8038
4000	ANI por alineamiento	94.5000	3823	94.2977
8000	Mash sobre DNA	0.0750	7814	96.0072
8000	Mash sobre proteomas	0.0750	7850	95.5924
8000	ANI por alineamiento	91.5000	8051	95.5285
12000	Mash sobre DNA	0.1050	12257	95.8554
12000	Mash sobre proteomas	0.1000	11884	95.9778
12000	ANI por alineamiento	88.5000	11993	95.6808
15000	Mash sobre DNA	0.1250	15218	95.9193
15000	Mash sobre proteomas	0.1200	14718	96.0321
15000	ANI por alineamiento	86.0000	15102	95.7688
18500	Mash sobre DNA	0.1500	18803	95.2508
18500	Mash sobre proteomas	0.1500	18427	95.7399
18500	ANI por alineamiento	82.5000	18539	95.6093
21000	Mash sobre DNA	0.1650	20861	94.5401
21000	Mash sobre proteomas	0.1750	20996	95.6039
21000	ANI por alineamiento			
23500	Mash sobre DNA	0.1850	23341	93.0251
23500	Mash sobre proteomas	0.2050	23487	94.8099
23500	ANI por alineamiento			
26500	Mash sobre DNA	0.2200	26623	90.1589
26500	Mash sobre proteomas	0.2550	26602	92.7712
26500	ANI por alineamiento			
29000	Mash sobre DNA	0.2700	29060	87.2815
29000	Mash sobre proteomas	0.3450	29025	89.0680
29000	ANI por alineamiento			
